training_run_id,experiment_name,dataset,split_seed,training_seed,model_name,optimizer_name,learning_rate,weight_decay,clipping_norm,noise_multiplier,batch_size,epochs,sampling_rate,delta,epsilon_upper_theory,model_artifact_path,epsilon_upper_pld,pld_accounting_backend,config_snapshot_path,created_at_utc,notes,utility_accuracy,utility_loss
train_codex_support_scaled_mnist_seed123_20260503T170428Z,codex_support_scaled_mnist,mnist,11,123,simple_mlp,sgd,0.15,0.0,1.0,1.1,128,1,0.0625,1e-05,2.242196097938645,C:\Users\user\OneDrive - American University of Beirut\Documents\EECE_608\codex\results\final_paper_checks\training\checkpoints\train_codex_support_scaled_mnist_seed123_20260503T170428Z.pt,1.812994,google_dp_accounting,C:\Users\user\OneDrive - American University of Beirut\Documents\EECE_608\codex\results\final_paper_checks\training\configs\train_codex_support_scaled_mnist_seed123_20260503T170428Z_config.json,2026-05-03T17:04:28.797133+00:00,Codex support-scaled pilot sidecar run.,0.533203125,1.9627044796943665
train_codex_support_scaled_mnist_seed123_20260503T170544Z,codex_support_scaled_mnist,mnist,11,123,simple_mlp,sgd,0.15,0.0,1.0,1.1,128,1,0.0625,1e-05,2.242196097938645,C:\Users\user\OneDrive - American University of Beirut\Documents\EECE_608\codex\results\final_paper_checks\training\checkpoints\train_codex_support_scaled_mnist_seed123_20260503T170544Z.pt,1.812994,google_dp_accounting,C:\Users\user\OneDrive - American University of Beirut\Documents\EECE_608\codex\results\final_paper_checks\training\configs\train_codex_support_scaled_mnist_seed123_20260503T170544Z_config.json,2026-05-03T17:05:44.209157+00:00,Codex support-scaled pilot sidecar run.,0.533203125,1.9627044796943665
